iter	Passed	Remaining
0	2	2676
1	2	1473
2	3	1063
3	3	864
4	3	746
5	4	663
6	4	606
7	4	562
8	4	531
9	5	517
10	5	498
11	5	481
12	6	465
13	6	453
14	6	447
15	7	436
16	7	425
17	7	417
18	7	408
19	8	402
20	8	395
21	8	388
22	9	409
23	9	405
24	10	403
25	10	396
26	10	390
27	11	385
28	11	380
29	11	375
30	11	370
31	12	369
32	12	365
33	12	361
34	13	359
35	13	356
36	13	355
37	13	353
38	14	350
39	14	348
40	14	347
41	15	345
42	15	345
43	15	345
44	16	344
45	16	342
46	17	348
47	17	345
48	17	346
49	18	344
50	18	343
51	18	341
52	18	338
53	19	339
54	19	338
55	20	337
56	20	337
57	20	338
58	21	337
59	21	334
60	21	333
61	21	331
62	22	330
63	22	329
64	22	329
65	23	328
66	23	327
67	23	325
68	24	334
69	25	332
70	25	331
71	25	329
72	25	328
73	26	327
74	26	327
75	26	325
76	27	324
77	27	323
78	27	322
79	27	321
80	28	320
81	28	321
82	28	318
83	29	318
84	29	317
85	29	316
86	30	316
87	30	315
88	31	318
89	31	317
90	31	316
91	32	316
92	32	316
93	32	314
94	32	313
95	33	312
96	33	311
97	33	311
98	34	310
99	34	310
100	34	310
101	35	309
102	35	308
103	35	307
104	36	307
105	36	306
106	36	306
107	37	305
108	37	305
109	37	304
110	37	303
111	38	302
112	38	301
113	38	300
114	39	300
115	39	299
116	39	298
117	39	297
118	40	296
119	40	296
120	40	295
121	40	294
122	41	294
123	41	293
124	41	292
125	42	291
126	42	290
127	42	290
128	42	289
129	43	289
130	43	288
131	43	288
132	44	287
133	44	288
134	44	287
135	45	286
136	45	285
137	45	285
138	46	285
139	46	284
140	46	284
141	46	282
142	47	281
143	47	281
144	47	280
145	47	279
146	48	279
147	48	278
148	48	278
149	48	277
150	49	276
151	49	276
152	49	275
153	50	274
154	50	274
155	50	274
156	51	274
157	51	274
158	51	273
159	52	273
160	52	271
161	52	270
162	52	270
163	52	269
164	53	268
165	53	268
166	53	267
167	53	266
168	54	265
169	54	265
170	54	265
171	54	264
172	55	263
173	55	264
174	55	263
175	56	263
176	56	262
177	56	262
178	57	261
179	57	261
180	57	261
181	57	260
182	58	260
183	58	260
184	58	259
185	59	259
186	59	259
187	59	259
188	60	258
189	60	258
